Email;Event;Framecount;PotionRotationX;PotionRotationY;PotionRotationZ;SessionID;Timestamp
anonymous;Sample;264;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.8059
anonymous;Sample;266;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.8321
anonymous;Sample;268;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.8610
anonymous;Sample;270;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.8887
anonymous;Sample;272;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.9167
anonymous;Sample;274;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.9441
anonymous;Sample;276;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.9719
anonymous;Sample;278;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.9995
anonymous;Sample;280;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.0262
anonymous;Sample;282;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.0553
anonymous;Sample;284;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.0824
anonymous;Sample;286;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.1099
anonymous;Sample;288;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.1378
anonymous;Sample;290;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.1660
anonymous;Sample;292;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.1936
anonymous;Sample;294;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.2211
anonymous;Sample;296;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.2496
anonymous;Sample;298;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.2766
anonymous;Sample;300;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.3060
anonymous;Sample;302;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.3327
anonymous;Sample;304;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.3603
anonymous;Sample;306;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.3879
anonymous;Sample;308;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.4159
anonymous;Sample;310;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.4435
anonymous;Sample;312;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.4711
anonymous;Sample;314;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.4996
anonymous;Sample;316;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.5270
anonymous;Sample;318;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.5547
anonymous;Sample;320;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.5835
anonymous;Sample;322;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.6110
anonymous;Sample;324;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.6386
anonymous;Sample;326;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.6664
anonymous;Sample;328;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.6940
anonymous;Sample;330;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.7215
anonymous;Sample;332;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.7492
anonymous;Sample;334;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.7779
anonymous;Sample;336;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.8050
anonymous;Sample;338;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:47.8335
